time1,time2,state,hive_age,cubee,fob,fobr,foh,varroa,queen_age,queen_state,queen_cubee,queen_id,brood_pattern,stings,hid,hive_interacted
0,27,0,297,0,19.999999999999996,3.0000000000000004,4.999999999999999,,,,,,,,55973,31
0,29,1,0,0,,,,,,,,,,,55974,10
29,59,1,34,1,,,,,,,,,,,55974,22
59,88,1,65,0,,5.806518284735144,,,,,,,,,55974,31
88,118,1,89,0,,7.999999999999998,,,,,,,,,55974,30
118,148,1,127,0,,8.483842980983871,7.000000000000001,0.0,,,,,,,55974,31
148,177,1,156,1,,6.999999999999999,6.999999999999999,0.0,,,,,,,55974,33
177,207,1,187,0,,6.999999999999999,6.999999999999999,35.0,,,,,,,55974,33
0,27,1,297,0,,6.999999999999999,6.999999999999999,,,,,,,,55974,31
0,29,0,354,0,,6.999999999999999,6.999999999999999,,,,,,,,55974,17
0,29,1,1,0,,,,,,,,,,,55975,10
29,59,1,34,1,,,,,,,,,,,55975,22
59,88,1,65,0,19.999999999999996,9.553456809354683,,,,,,,,,55975,31
88,118,1,89,0,19.999999999999996,4.789859484593614,,,,,,,,,55975,30
118,148,1,127,0,19.999999999999996,2.120564002562902,2.0,1.0,,,,,,,55975,31
148,177,1,156,1,19.999999999999996,5.999999999999998,2.0,1.0,,,,,,,55975,33
177,207,1,165,0,19.999999999999996,5.999999999999998,2.0,20.0,,,,,,,55975,33
207,236,1,191,0,19.999999999999996,6.0,2.0,20.0,,,,,,,55975,20
0,27,0,298,0,19.999999999999996,6.0,2.0,,,,,,,,55975,31
0,29,1,1,0,,,,,,,,,,,55976,10
29,59,1,34,1,,5.000000000000001,,,,,,,,,55976,22
59,88,1,65,0,19.000000000000004,9.045826816123382,,,,,,,,,55976,31
88,118,1,89,0,19.000000000000004,6.764085013056305,,,,,,,,,55976,30
118,148,1,127,0,19.000000000000004,4.767809564658798,2.0,17.0,,,,,,,55976,31
148,177,1,155,1,18.999999999999996,7.999999999999998,3.710314310847334,17.0,,,,,,,55976,33
177,207,1,165,0,18.999999999999996,7.999999999999998,5.999999999999998,45.0,,,,,,,55976,33
207,236,1,191,0,18.999999999999996,7.999999999999998,6.0,45.0,,,,,,,55976,20
236,266,0,250,0,18.999999999999996,7.999999999999998,6.0,45.0,,,,,,,55976,1
0,30,1,29,0,,,,,,,,,,,56406,15
30,59,1,53,0,6.273142140850168,4.077048075244807,,,,,,,,,56406,0
59,89,1,87,1,11.000000000000002,4.621324558197928,,,,,,,,,56406,0
89,119,1,121,0,11.000000000000007,3.464101615137755,7.999999999999995,0.0,,,,,,,56406,0
119,148,1,151,1,11.000000000000002,1.0,7.999999999999998,0.0,,,,,,,56406,24
148,178,1,165,0,11.000000000000002,1.0,7.999999999999998,5.0,,,,,,,56406,23
0,30,1,233,0,11.000000000000002,1.0,7.999999999999998,5.0,,,,,,,56406,23
30,60,1,261,0,11.000000000000002,1.0,7.999999999999998,,,,,,,,56406,23
60,87,0,299,0,11.000000000000002,1.0,7.999999999999998,,,,,,,,56406,23
0,30,1,29,1,,,,1.0,,,,,,,56407,15
30,59,1,50,0,19.999999999999996,15.999999999999998,,0.0,,,,,,,56407,26
59,89,1,82,0,19.999999999999996,10.283811153873598,,0.0,,,,,,,56407,18
89,119,1,113,0,19.999999999999996,9.688861611972637,,0.0,,,,,,,56407,16
119,148,1,148,1,19.999999999999996,6.9999999999999964,1.0,0.0,,,,,,,56407,23
148,178,1,173,0,19.999999999999996,6.999999999999999,1.0,,,,,,,,56407,22
0,27,1,288,0,19.999999999999996,6.999999999999999,1.0,,,,,,,,56407,22
27,57,0,306,0,19.999999999999996,6.999999999999999,1.0,,,,,,,,56407,16
0,30,1,29,1,,,,,,,,,,,56408,15
30,59,1,50,0,7.999999999999995,0.0,,,,,,,,,56408,26
59,89,1,82,0,7.999999999999995,6.4807406984078595,,,,,,,,,56408,18
89,119,1,113,0,7.999999999999998,7.421121069708768,,1.0,,,,,,,56408,16
119,148,1,148,1,7.999999999999998,6.999999999999999,4.0,1.0,,,,,,,56408,23
148,178,1,173,0,7.999999999999998,0.0,4.0,15.0,,,,,,,56408,22
0,27,1,288,0,7.999999999999998,0.0,4.0,,,,,,,,56408,22
27,57,1,306,0,7.999999999999998,0.0,4.0,,,,,,,,56408,16
57,86,0,345,0,7.999999999999998,0.0,4.0,,,,,,,,56408,8
0,30,1,29,1,,,,,,,,,,,56409,15
30,59,1,50,0,8.999999999999998,6.999999999999998,,,,,,,,,56409,26
59,89,1,82,0,8.999999999999998,5.916079783099614,,,,,,,,,56409,18
89,119,1,113,0,9.000000000000002,6.529770802264681,,3.0,,,,,,,56409,16
119,148,1,148,1,9.000000000000002,6.0,6.999999999999999,3.0,,,,,,,56409,23
148,178,1,173,0,7.999999999999995,0.0,6.999999999999998,3.0,,,,,,,56409,22
0,27,1,288,0,7.999999999999998,0.0,6.999999999999999,,,,,,,,56409,22
27,57,1,306,0,7.999999999999998,0.0,6.999999999999998,,,,,,,,56409,16
57,86,0,345,0,7.999999999999998,0.0,6.999999999999999,,,,,,,,56409,8
0,30,1,29,1,,,,,,,,,,,56410,15
30,59,1,45,0,,,,,,,,,,,56410,1
59,89,1,87,0,,6.461125498457114,,,,,,,,,56410,1
89,119,1,115,0,,6.743176677630434,,,,,,,,,56410,1
119,148,1,151,1,,5.935995048811223,4.999999999999999,,,,,,,,56410,24
148,178,1,165,0,,6.0,4.999999999999999,,,,,,,,56410,23
0,30,1,233,0,,6.0,4.999999999999999,,,,,,,,56410,23
30,60,1,261,0,,6.0,4.999999999999999,,,,,,,,56410,23
60,87,1,299,0,,6.000000000000001,4.999999999999999,,,,,,,,56410,23
0,29,1,362,0,4.0,3.464101615137755,3.162277660168379,,,,,,4.0,0.0,56410,19
29,59,1,383,0,4.547149699531194,3.031433133020796,1.3195079107728942,,14.0,False,,56410_queen_0,4.573050519273263,0.0,56410,20
59,88,1,414,0,9.999999999999993,5.000000000000001,2.82842712474619,,45.0,False,,56410_queen_0,4.472135954999578,0.0,56410,19
88,118,1,453,0,11.676289148370715,6.893791275439828,4.733387566653534,0.0,84.0,False,,56410_queen_0,4.6613592120836636,0.0,56410,21
118,148,1,484,0,11.142714175712632,3.073467327894885,4.878825269490229,0.0,98.0,True,,56410_queen_0,2.7348506267134582,0.0,56410,22
148,177,1,510,0,11.000000000000002,1.0,4.0,1.0,43.0,False,,56410_queen_1,2.0,0.0,56410,22
177,207,0,534,0,11.000000000000002,1.0,4.0,1.0,67.0,False,,56410_queen_1,2.0,0.0,56410,22
0,30,1,29,1,,1.9999999999999993,,,,,,,1.0,,56411,15
30,59,1,45,0,,2.0,,,,,,,1.0,,56411,1
59,89,1,87,0,,7.70043221292543,,,,,,,1.0,,56411,1
89,119,1,115,0,,7.205393760540909,,,,,,,1.0,,56411,1
119,148,1,151,1,,7.857444388442071,4.0,0.0,,,,,1.0,,56411,24
148,178,1,165,0,,7.999999999999998,4.0,5.0,,,,,1.0,,56411,23
0,30,1,233,0,,7.999999999999998,4.0,5.0,,,,,1.0,,56411,23
30,60,1,261,0,,7.999999999999998,4.0,,,,,,1.0,,56411,23
60,87,1,299,0,,7.999999999999998,4.0,,,,,,1.0,,56411,23
0,29,0,348,0,,7.999999999999998,4.0,,,,,,1.0,,56411,19
0,30,1,29,1,,,,1.0,,,,,,,56412,15
30,59,1,50,0,17.999999999999996,13.999999999999996,,0.0,,,,,,,56412,26
59,89,1,82,0,18.000000000000004,8.73885189073182,,0.0,,,,,,,56412,18
89,119,1,113,0,17.999999999999996,6.6038544977892535,,0.0,,,,,,,56412,16
119,148,1,148,1,17.999999999999996,6.9999999999999964,,0.0,,,,,,,56412,23
148,178,1,173,0,17.999999999999996,6.999999999999999,,,,,,,,,56412,22
0,27,1,288,0,17.999999999999996,6.999999999999999,,,,,,,,,56412,22
